user_id,mandate_attempt_datetime,day_of_week,hour_of_day,setup_status,failure_reason
U0078,2026-01-20 04:23:00,Tuesday,4,Failed,Incorrect_UPI_PIN
U0079,2026-02-16 08:28:00,Monday,8,Failed,VPA_Invalid
U0080,2026-01-04 04:13:00,Sunday,4,Success,
U0081,2026-01-01 09:27:00,Thursday,9,Failed,VPA_Invalid
U0082,2026-02-19 19:00:00,Thursday,19,Success,
U0083,2026-01-02 01:37:00,Friday,1,Failed,VPA_Invalid
U0084,2026-02-09 07:41:00,Monday,7,Success,
U0085,2026-02-20 23:17:00,Friday,23,Success,
U0086,2026-02-25 05:50:00,Wednesday,5,Failed,Incorrect_UPI_PIN
U0087,2026-02-18 06:42:00,Wednesday,6,Success,
U0088,2026-01-29 06:29:00,Thursday,6,Failed,Incorrect_UPI_PIN
U0089,2026-02-08 17:37:00,Sunday,17,Success,
U0090,2026-02-12 11:15:00,Thursday,11,Failed,Bank_Timeout
U0091,2026-01-04 20:29:00,Sunday,20,Success,
U0092,2026-01-18 06:22:00,Sunday,6,Failed,Bank_Timeout
U0093,2026-01-05 13:43:00,Monday,13,Failed,Bank_Timeout
U0094,2026-02-19 18:31:00,Thursday,18,Failed,Incorrect_UPI_PIN
U0095,2026-01-23 15:01:00,Friday,15,Failed,Bank_Timeout
U0096,2026-01-14 15:11:00,Wednesday,15,Success,
U0097,2026-01-20 18:14:00,Tuesday,18,Failed,Incorrect_UPI_PIN
U0098,2026-01-27 02:07:00,Tuesday,2,Success,
U0099,2026-01-07 17:32:00,Wednesday,17,Success,
U0100,2026-02-21 05:41:00,Saturday,5,Success,
U0101,2026-02-01 04:10:00,Sunday,4,Failed,VPA_Invalid
U0102,2026-01-01 16:31:00,Thursday,16,Failed,VPA_Invalid
U0103,2026-02-23 15:30:00,Monday,15,Success,
U0104,2026-01-16 09:08:00,Friday,9,Failed,Bank_Timeout
U0105,2026-01-26 10:54:00,Monday,10,Failed,Bank_Timeout
U0106,2026-01-08 09:43:00,Thursday,9,Failed,Bank_Timeout
U0107,2026-02-21 05:34:00,Saturday,5,Failed,VPA_Invalid
U0108,2026-01-30 09:39:00,Friday,9,Success,
U0109,2026-02-18 19:57:00,Wednesday,19,Failed,VPA_Invalid
U0110,2026-01-04 19:13:00,Sunday,19,Failed,Bank_Timeout
U0111,2026-01-05 21:39:00,Monday,21,Success,
U0112,2026-01-29 12:12:00,Thursday,12,Failed,Bank_Timeout
U0113,2026-02-22 23:19:00,Sunday,23,Failed,Incorrect_UPI_PIN
U0114,2026-01-30 10:07:00,Friday,10,Success,
U0115,2026-02-23 02:33:00,Monday,2,Failed,Bank_Timeout
U0116,2026-02-12 01:50:00,Thursday,1,Failed,Bank_Timeout
U0117,2026-01-16 11:29:00,Friday,11,Success,
U0118,2026-02-10 21:18:00,Tuesday,21,Success,
U0119,2026-01-17 02:25:00,Saturday,2,Success,
U0120,2026-01-14 15:26:00,Wednesday,15,Success,
U0121,2026-01-08 16:09:00,Thursday,16,Failed,VPA_Invalid
U0122,2026-02-22 00:51:00,Sunday,0,Success,
U0123,2026-01-07 02:42:00,Wednesday,2,Success,
U0124,2026-02-06 01:51:00,Friday,1,Failed,Incorrect_UPI_PIN
U0125,2026-01-01 23:49:00,Thursday,23,Success,
U0126,2026-02-02 11:18:00,Monday,11,Failed,Bank_Timeout
U0127,2026-01-09 16:07:00,Friday,16,Failed,Bank_Timeout
U0128,2026-01-30 08:10:00,Friday,8,Success,
U0129,2026-01-27 04:52:00,Tuesday,4,Failed,Bank_Timeout
U0130,2026-02-20 00:55:00,Friday,0,Success,
U0131,2026-01-05 06:07:00,Monday,6,Success,
U0132,2026-01-29 12:41:00,Thursday,12,Failed,Bank_Timeout
U0133,2026-02-17 10:21:00,Tuesday,10,Success,
U0134,2026-01-31 19:21:00,Saturday,19,Success,
U0135,2026-01-27 03:03:00,Tuesday,3,Success,
U0136,2026-01-18 14:01:00,Sunday,14,Failed,Bank_Timeout
U0137,2026-02-11 06:59:00,Wednesday,6,Failed,Bank_Timeout
U0138,2026-01-10 02:59:00,Saturday,2,Success,
U0139,2026-01-06 14:07:00,Tuesday,14,Success,
U0140,2026-02-25 18:52:00,Wednesday,18,Failed,Incorrect_UPI_PIN
U0141,2026-01-31 05:27:00,Saturday,5,Failed,Bank_Timeout
U0142,2026-02-24 04:32:00,Tuesday,4,Failed,Bank_Timeout
U0143,2026-01-17 15:24:00,Saturday,15,Failed,Incorrect_UPI_PIN
U0144,2026-02-09 17:31:00,Monday,17,Success,
U0145,2026-02-24 21:28:00,Tuesday,21,Failed,Incorrect_UPI_PIN
U0146,2026-02-21 23:30:00,Saturday,23,Failed,Incorrect_UPI_PIN
U0147,2026-02-02 01:42:00,Monday,1,Failed,Incorrect_UPI_PIN
U0148,2026-02-06 06:32:00,Friday,6,Success,
U0149,2026-01-21 05:08:00,Wednesday,5,Success,
U0150,2026-02-08 02:25:00,Sunday,2,Failed,VPA_Invalid
U0151,2026-02-05 14:35:00,Thursday,14,Failed,Incorrect_UPI_PIN
U0152,2026-02-27 20:26:00,Friday,20,Failed,Bank_Timeout
U0153,2026-01-19 00:38:00,Monday,0,Failed,Bank_Timeout
U0154,2026-01-23 15:25:00,Friday,15,Success,
U0155,2026-02-05 08:13:00,Thursday,8,Failed,Incorrect_UPI_PIN
U0156,2026-01-09 20:22:00,Friday,20,Failed,Incorrect_UPI_PIN
U0157,2026-02-04 13:50:00,Wednesday,13,Failed,Incorrect_UPI_PIN
U0158,2026-03-01 11:45:00,Sunday,11,Failed,VPA_Invalid
U0159,2026-02-03 06:53:00,Tuesday,6,Success,
U0160,2026-02-24 03:39:00,Tuesday,3,Failed,Incorrect_UPI_PIN
U0161,2026-01-21 11:59:00,Wednesday,11,Failed,Bank_Timeout
U0162,2026-01-11 06:05:00,Sunday,6,Failed,Bank_Timeout
U0163,2026-01-29 16:40:00,Thursday,16,Failed,Bank_Timeout
U0164,2026-01-04 05:49:00,Sunday,5,Failed,VPA_Invalid
U0165,2026-01-03 03:04:00,Saturday,3,Failed,VPA_Invalid
U0166,2026-02-08 12:52:00,Sunday,12,Success,
U0167,2026-01-01 02:26:00,Thursday,2,Failed,Bank_Timeout
U0168,2026-01-22 16:59:00,Thursday,16,Failed,Incorrect_UPI_PIN
U0169,2026-01-31 06:28:00,Saturday,6,Success,
U0170,2026-02-12 08:14:00,Thursday,8,Success,
U0171,2026-02-05 16:38:00,Thursday,16,Failed,Bank_Timeout
U0172,2026-02-16 17:05:00,Monday,17,Success,
U0173,2026-02-23 05:02:00,Monday,5,Success,
U0174,2026-02-20 11:20:00,Friday,11,Failed,VPA_Invalid
U0175,2026-01-20 05:03:00,Tuesday,5,Failed,VPA_Invalid
U0176,2026-02-13 15:00:00,Friday,15,Failed,VPA_Invalid
U0177,2026-02-01 23:03:00,Sunday,23,Success,
U0178,2026-01-13 06:27:00,Tuesday,6,Failed,VPA_Invalid
U0179,2026-02-28 00:35:00,Saturday,0,Failed,Bank_Timeout
U0180,2026-02-01 01:28:00,Sunday,1,Success,
U0181,2026-02-05 18:04:00,Thursday,18,Success,
U0182,2026-02-08 23:59:00,Sunday,23,Failed,VPA_Invalid
U0183,2026-01-19 16:37:00,Monday,16,Success,
U0184,2026-03-01 07:30:00,Sunday,7,Failed,Incorrect_UPI_PIN
U0185,2026-01-01 10:02:00,Thursday,10,Failed,Bank_Timeout
U0186,2026-01-30 05:27:00,Friday,5,Failed,Bank_Timeout
U0187,2026-02-27 02:01:00,Friday,2,Failed,VPA_Invalid
U0188,2026-02-21 11:04:00,Saturday,11,Success,
U0189,2026-02-15 00:26:00,Sunday,0,Success,
U0190,2026-01-02 03:50:00,Friday,3,Success,
U0191,2026-02-20 10:20:00,Friday,10,Success,
U0192,2026-01-03 13:17:00,Saturday,13,Failed,Bank_Timeout
U0193,2026-01-23 12:37:00,Friday,12,Failed,Bank_Timeout
U0194,2026-01-18 22:30:00,Sunday,22,Failed,Bank_Timeout
U0195,2026-02-10 03:26:00,Tuesday,3,Failed,Incorrect_UPI_PIN
U0196,2026-02-23 11:39:00,Monday,11,Failed,Bank_Timeout
U0197,2026-02-11 07:15:00,Wednesday,7,Failed,Incorrect_UPI_PIN
U0198,2026-01-05 02:34:00,Monday,2,Success,
U0199,2026-02-03 16:05:00,Tuesday,16,Failed,Bank_Timeout
U0200,2026-02-24 20:03:00,Tuesday,20,Success,
U0201,2026-02-26 17:14:00,Thursday,17,Success,
U0202,2026-02-25 18:20:00,Wednesday,18,Failed,VPA_Invalid
U0203,2026-02-09 07:10:00,Monday,7,Failed,VPA_Invalid
U0204,2026-01-07 19:55:00,Wednesday,19,Success,
U0205,2026-01-28 00:04:00,Wednesday,0,Failed,Bank_Timeout
U0206,2026-02-20 05:30:00,Friday,5,Failed,VPA_Invalid
U0207,2026-01-29 04:26:00,Thursday,4,Failed,Incorrect_UPI_PIN
U0208,2026-02-04 23:05:00,Wednesday,23,Failed,Bank_Timeout
U0209,2026-02-23 07:54:00,Monday,7,Success,
U0210,2026-01-18 05:32:00,Sunday,5,Success,
U0211,2026-01-20 01:58:00,Tuesday,1,Success,
U0212,2026-02-05 06:34:00,Thursday,6,Failed,Incorrect_UPI_PIN
U0213,2026-01-23 09:59:00,Friday,9,Success,
U0214,2026-02-25 22:00:00,Wednesday,22,Failed,Incorrect_UPI_PIN
U0215,2026-02-21 19:23:00,Saturday,19,Success,
U0216,2026-02-22 02:18:00,Sunday,2,Failed,Bank_Timeout
U0217,2026-02-26 12:39:00,Thursday,12,Failed,Incorrect_UPI_PIN
U0218,2026-01-01 09:24:00,Thursday,9,Failed,Incorrect_UPI_PIN
U0219,2026-02-26 22:17:00,Thursday,22,Failed,Incorrect_UPI_PIN
U0220,2026-01-04 12:19:00,Sunday,12,Success,
U0221,2026-02-14 17:48:00,Saturday,17,Success,
U0222,2026-01-27 06:33:00,Tuesday,6,Success,
U0223,2026-02-15 05:40:00,Sunday,5,Failed,Bank_Timeout
U0224,2026-01-08 10:05:00,Thursday,10,Failed,Incorrect_UPI_PIN
U0225,2026-01-31 00:39:00,Saturday,0,Success,
U0226,2026-01-21 21:47:00,Wednesday,21,Failed,Incorrect_UPI_PIN
U0227,2026-02-28 07:48:00,Saturday,7,Success,
U0228,2026-02-09 12:22:00,Monday,12,Success,
U0229,2026-01-25 10:38:00,Sunday,10,Failed,Bank_Timeout
U0230,2026-01-16 14:00:00,Friday,14,Failed,VPA_Invalid
U0231,2026-01-28 06:42:00,Wednesday,6,Failed,VPA_Invalid
U0232,2026-01-08 19:22:00,Thursday,19,Success,
U0233,2026-01-28 09:10:00,Wednesday,9,Success,
U0234,2026-01-04 10:25:00,Sunday,10,Failed,Bank_Timeout
U0235,2026-02-12 11:01:00,Thursday,11,Failed,VPA_Invalid
U0236,2026-01-20 13:29:00,Tuesday,13,Success,
U0237,2026-02-14 01:47:00,Saturday,1,Failed,Incorrect_UPI_PIN
U0238,2026-01-06 07:04:00,Tuesday,7,Failed,Bank_Timeout
U0239,2026-02-19 13:55:00,Thursday,13,Failed,Bank_Timeout
U0240,2026-02-11 23:31:00,Wednesday,23,Failed,Incorrect_UPI_PIN
U0241,2026-01-14 10:36:00,Wednesday,10,Success,
U0242,2026-01-08 21:02:00,Thursday,21,Success,
U0243,2026-02-01 02:45:00,Sunday,2,Failed,Bank_Timeout
U0244,2026-02-28 23:11:00,Saturday,23,Success,
U0245,2026-02-13 08:17:00,Friday,8,Failed,VPA_Invalid
U0246,2026-01-14 05:21:00,Wednesday,5,Success,
U0247,2026-01-10 02:45:00,Saturday,2,Failed,Bank_Timeout
U0248,2026-01-23 17:25:00,Friday,17,Failed,Incorrect_UPI_PIN
U0249,2026-02-10 20:59:00,Tuesday,20,Success,
U0250,2026-01-28 00:29:00,Wednesday,0,Failed,VPA_Invalid
U0251,2026-02-13 04:00:00,Friday,4,Success,
U0252,2026-01-02 17:50:00,Friday,17,Success,
U0253,2026-01-03 11:05:00,Saturday,11,Failed,Bank_Timeout
U0254,2026-01-02 01:49:00,Friday,1,Failed,Bank_Timeout
U0255,2026-02-23 19:24:00,Monday,19,Success,
U0256,2026-02-02 16:06:00,Monday,16,Failed,VPA_Invalid
U0257,2026-02-18 08:42:00,Wednesday,8,Failed,Incorrect_UPI_PIN
U0258,2026-01-30 21:05:00,Friday,21,Success,
U0259,2026-01-31 13:17:00,Saturday,13,Failed,Incorrect_UPI_PIN
U0260,2026-01-24 12:48:00,Saturday,12,Failed,Bank_Timeout
U0261,2026-01-19 18:27:00,Monday,18,Success,
U0262,2026-02-23 20:31:00,Monday,20,Failed,Incorrect_UPI_PIN
U0263,2026-01-11 11:59:00,Sunday,11,Failed,VPA_Invalid
U0264,2026-01-18 01:30:00,Sunday,1,Success,
U0265,2026-02-11 06:26:00,Wednesday,6,Success,
U0266,2026-02-24 22:08:00,Tuesday,22,Success,
U0267,2026-02-06 04:11:00,Friday,4,Failed,Incorrect_UPI_PIN
U0268,2026-01-30 05:26:00,Friday,5,Failed,Bank_Timeout
U0269,2026-02-01 11:59:00,Sunday,11,Failed,VPA_Invalid
U0270,2026-02-24 03:00:00,Tuesday,3,Failed,VPA_Invalid
U0271,2026-01-25 21:11:00,Sunday,21,Failed,Bank_Timeout
U0272,2026-01-19 18:53:00,Monday,18,Success,
U0273,2026-01-09 06:59:00,Friday,6,Success,
U0274,2026-02-17 12:07:00,Tuesday,12,Failed,Bank_Timeout
U0275,2026-01-30 10:47:00,Friday,10,Failed,Incorrect_UPI_PIN
U0276,2026-02-28 12:37:00,Saturday,12,Failed,Bank_Timeout
U0277,2026-02-11 19:01:00,Wednesday,19,Failed,Bank_Timeout
U0278,2026-01-24 18:09:00,Saturday,18,Failed,VPA_Invalid
U0279,2026-01-27 18:59:00,Tuesday,18,Failed,Bank_Timeout
U0280,2026-01-26 15:06:00,Monday,15,Failed,Incorrect_UPI_PIN
U0281,2026-03-01 05:37:00,Sunday,5,Success,
U0282,2026-02-12 21:22:00,Thursday,21,Success,
U0283,2026-01-23 12:49:00,Friday,12,Failed,Incorrect_UPI_PIN
U0284,2026-01-16 04:52:00,Friday,4,Failed,Incorrect_UPI_PIN
U0285,2026-02-25 13:45:00,Wednesday,13,Failed,Incorrect_UPI_PIN
U0286,2026-01-15 18:37:00,Thursday,18,Success,
U0287,2026-01-14 08:10:00,Wednesday,8,Failed,Incorrect_UPI_PIN
U0288,2026-02-09 16:22:00,Monday,16,Success,
U0289,2026-01-14 06:57:00,Wednesday,6,Success,
U0290,2026-01-20 05:51:00,Tuesday,5,Failed,Bank_Timeout
U0291,2026-02-03 21:47:00,Tuesday,21,Success,
U0292,2026-02-07 05:27:00,Saturday,5,Failed,Incorrect_UPI_PIN
U0293,2026-03-01 16:33:00,Sunday,16,Failed,Bank_Timeout
U0294,2026-02-28 07:19:00,Saturday,7,Failed,Incorrect_UPI_PIN
U0295,2026-02-20 07:05:00,Friday,7,Failed,VPA_Invalid
U0296,2026-01-29 10:33:00,Thursday,10,Failed,Bank_Timeout
U0297,2026-01-29 08:14:00,Thursday,8,Failed,VPA_Invalid
U0298,2026-01-18 14:28:00,Sunday,14,Failed,Bank_Timeout
U0299,2026-02-20 23:14:00,Friday,23,Success,
U0300,2026-02-22 09:35:00,Sunday,9,Failed,Bank_Timeout
U0301,2026-01-12 17:31:00,Monday,17,Success,
U0302,2026-02-02 16:24:00,Monday,16,Failed,Incorrect_UPI_PIN
U0303,2026-01-12 17:57:00,Monday,17,Failed,VPA_Invalid
U0304,2026-01-16 18:05:00,Friday,18,Success,
U0305,2026-02-13 03:53:00,Friday,3,Success,
U0306,2026-01-01 05:14:00,Thursday,5,Failed,Incorrect_UPI_PIN
U0307,2026-02-17 22:12:00,Tuesday,22,Success,
U0308,2026-01-02 23:25:00,Friday,23,Success,
U0309,2026-02-15 21:27:00,Sunday,21,Failed,Incorrect_UPI_PIN
U0310,2026-02-15 13:15:00,Sunday,13,Failed,VPA_Invalid
U0311,2026-01-03 20:17:00,Saturday,20,Failed,VPA_Invalid
U0312,2026-02-19 06:01:00,Thursday,6,Failed,Bank_Timeout
U0313,2026-02-06 13:32:00,Friday,13,Failed,Incorrect_UPI_PIN
U0314,2026-02-12 01:53:00,Thursday,1,Success,
U0315,2026-02-14 15:14:00,Saturday,15,Success,
U0316,2026-02-18 22:45:00,Wednesday,22,Failed,Bank_Timeout
U0317,2026-02-10 21:40:00,Tuesday,21,Failed,Bank_Timeout
U0318,2026-01-29 13:46:00,Thursday,13,Success,
U0319,2026-02-12 18:36:00,Thursday,18,Failed,Incorrect_UPI_PIN
U0320,2026-02-20 04:00:00,Friday,4,Failed,Bank_Timeout
U0321,2026-01-27 15:35:00,Tuesday,15,Success,
U0322,2026-02-16 19:55:00,Monday,19,Failed,VPA_Invalid
U0323,2026-01-19 09:28:00,Monday,9,Failed,VPA_Invalid
U0324,2026-02-14 20:49:00,Saturday,20,Success,
U0325,2026-02-07 22:57:00,Saturday,22,Failed,Bank_Timeout
U0326,2026-02-14 10:57:00,Saturday,10,Failed,VPA_Invalid
U0327,2026-01-23 07:20:00,Friday,7,Failed,Bank_Timeout
U0328,2026-01-28 16:04:00,Wednesday,16,Success,
U0329,2026-02-12 05:22:00,Thursday,5,Failed,VPA_Invalid
U0330,2026-01-16 19:12:00,Friday,19,Success,
U0331,2026-02-23 07:18:00,Monday,7,Failed,Bank_Timeout
U0332,2026-02-10 07:51:00,Tuesday,7,Failed,Incorrect_UPI_PIN
U0333,2026-01-06 21:56:00,Tuesday,21,Failed,Bank_Timeout
U0334,2026-02-14 01:58:00,Saturday,1,Success,
U0335,2026-01-08 02:09:00,Thursday,2,Failed,VPA_Invalid
U0336,2026-02-02 01:36:00,Monday,1,Success,
U0337,2026-02-10 15:08:00,Tuesday,15,Failed,Incorrect_UPI_PIN
U0338,2026-02-22 13:14:00,Sunday,13,Success,
U0339,2026-02-21 09:05:00,Saturday,9,Failed,VPA_Invalid
U0340,2026-02-11 21:12:00,Wednesday,21,Success,
U0341,2026-01-07 01:28:00,Wednesday,1,Success,
U0342,2026-01-13 04:25:00,Tuesday,4,Failed,VPA_Invalid
U0343,2026-01-17 09:48:00,Saturday,9,Failed,Bank_Timeout
U0344,2026-02-13 16:16:00,Friday,16,Success,
U0345,2026-02-21 09:44:00,Saturday,9,Failed,Incorrect_UPI_PIN
U0346,2026-01-09 08:57:00,Friday,8,Failed,VPA_Invalid
U0347,2026-02-20 14:20:00,Friday,14,Failed,Bank_Timeout
U0348,2026-02-14 03:45:00,Saturday,3,Failed,Bank_Timeout
U0349,2026-02-28 14:25:00,Saturday,14,Failed,Bank_Timeout
U0350,2026-02-03 11:48:00,Tuesday,11,Failed,Incorrect_UPI_PIN
U0351,2026-02-06 11:10:00,Friday,11,Failed,VPA_Invalid
U0352,2026-02-26 03:17:00,Thursday,3,Failed,Bank_Timeout
U0353,2026-02-20 07:58:00,Friday,7,Failed,VPA_Invalid
U0354,2026-02-08 17:16:00,Sunday,17,Failed,VPA_Invalid
U0355,2026-01-14 01:07:00,Wednesday,1,Failed,Bank_Timeout
U0356,2026-01-28 22:41:00,Wednesday,22,Success,
U0357,2026-01-05 10:07:00,Monday,10,Failed,Bank_Timeout
U0358,2026-02-12 17:01:00,Thursday,17,Success,
U0359,2026-01-05 16:40:00,Monday,16,Failed,VPA_Invalid
U0360,2026-01-04 12:23:00,Sunday,12,Success,
U0361,2026-02-04 16:27:00,Wednesday,16,Success,
U0362,2026-01-28 23:19:00,Wednesday,23,Failed,Bank_Timeout
U0363,2026-01-06 08:14:00,Tuesday,8,Success,
U0364,2026-01-05 18:42:00,Monday,18,Failed,Incorrect_UPI_PIN
U0365,2026-01-26 07:35:00,Monday,7,Success,
U0366,2026-01-14 05:24:00,Wednesday,5,Success,
U0367,2026-01-27 04:01:00,Tuesday,4,Success,
U0368,2026-01-24 07:45:00,Saturday,7,Failed,Bank_Timeout
U0369,2026-02-02 05:46:00,Monday,5,Success,
U0370,2026-01-31 01:34:00,Saturday,1,Failed,Incorrect_UPI_PIN
U0371,2026-02-15 00:01:00,Sunday,0,Failed,Incorrect_UPI_PIN
U0372,2026-01-25 20:27:00,Sunday,20,Success,
U0373,2026-02-12 18:40:00,Thursday,18,Failed,VPA_Invalid
U0374,2026-01-14 06:59:00,Wednesday,6,Failed,Bank_Timeout
U0375,2026-02-20 04:59:00,Friday,4,Success,
U0376,2026-01-10 15:06:00,Saturday,15,Failed,Incorrect_UPI_PIN
U0377,2026-01-12 02:21:00,Monday,2,Failed,Bank_Timeout
U0378,2026-02-15 21:50:00,Sunday,21,Success,
U0379,2026-03-01 22:41:00,Sunday,22,Failed,VPA_Invalid
U0380,2026-01-26 17:16:00,Monday,17,Failed,Bank_Timeout
U0381,2026-02-22 04:00:00,Sunday,4,Failed,Incorrect_UPI_PIN
U0382,2026-01-26 02:45:00,Monday,2,Failed,Bank_Timeout
U0383,2026-02-03 02:39:00,Tuesday,2,Success,
U0384,2026-02-23 09:02:00,Monday,9,Failed,Incorrect_UPI_PIN
U0385,2026-02-05 07:24:00,Thursday,7,Failed,Incorrect_UPI_PIN
U0386,2026-01-14 17:36:00,Wednesday,17,Success,
U0387,2026-03-01 05:34:00,Sunday,5,Success,
U0388,2026-02-19 12:47:00,Thursday,12,Failed,Bank_Timeout
U0389,2026-01-16 06:16:00,Friday,6,Failed,VPA_Invalid
U0390,2026-01-01 07:00:00,Thursday,7,Success,
U0391,2026-01-06 15:38:00,Tuesday,15,Failed,Bank_Timeout
U0392,2026-01-23 21:54:00,Friday,21,Success,
U0393,2026-03-01 13:58:00,Sunday,13,Failed,Bank_Timeout
U0394,2026-02-15 02:27:00,Sunday,2,Failed,Bank_Timeout
U0395,2026-02-23 18:25:00,Monday,18,Failed,Incorrect_UPI_PIN
U0396,2026-01-11 03:45:00,Sunday,3,Failed,Incorrect_UPI_PIN
U0397,2026-02-06 03:43:00,Friday,3,Failed,Bank_Timeout
U0398,2026-02-19 00:00:00,Thursday,0,Success,
U0399,2026-02-03 08:32:00,Tuesday,8,Success,
U0400,2026-01-23 07:34:00,Friday,7,Success,
U0401,2026-02-26 15:11:00,Thursday,15,Success,
U0402,2026-01-16 09:06:00,Friday,9,Failed,VPA_Invalid
U0403,2026-01-11 19:08:00,Sunday,19,Success,
U0404,2026-02-06 15:20:00,Friday,15,Failed,Incorrect_UPI_PIN
U0405,2026-02-21 16:24:00,Saturday,16,Success,
